,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
washougal,20,US,43,45.58,-122.35,51.8,14.99
esperance,40,AU,64,-33.87,121.9,71.6,11.41
rawson,0,AR,73,-43.3,-65.1,64.87,0.89
aitape,100,PG,71,-3.14,142.35,83.14,12.93
saint anthony,1,US,86,45.02,-93.22,42.01,8.05
virtsu,34,EE,80,58.57,23.51,41,11.41
phalombe,80,MW,96,-15.81,35.65,64.62,1.81
broome,90,US,51,42.25,-75.83,39.2,2.55
cove,2,BJ,87,7.22,2.34,79.72,2.77
victor harbor,100,AU,27,-35.57,138.62,88,11.41
hohhot,100,CN,34,40.81,111.65,37.4,4.47
yaan,87,NG,73,7.38,8.57,81.7,7.56
sidi ali,91,DZ,57,36.1,0.42,59.29,6.6
kuching,40,MY,89,1.55,110.33,84.2,4.7
bilma,0,NE,36,18.69,12.92,54.7,22.12
victoria,40,HK,73,22.29,114.16,75.99,14.99
manokwari,19,ID,84,-0.87,134.08,78.62,5.99
jand,98,PK,72,33.43,72.02,58.42,12.21
aquiraz,20,BR,74,-3.9,-38.39,82.99,1.68
liuzhou,100,CN,87,24.31,109.39,60.66,4.29
tungkang,,,,,,,
yirol,,,,,,,
cairns,75,AU,94,-16.92,145.77,80.01,16.11
sorong,82,ID,50,-0.88,131.25,93.54,0.49
bonavista,92,CA,88,48.65,-53.11,30,11.99
burnie,58,AU,75,-41.07,145.92,71.01,5.01
bayanday,100,RU,90,53.07,105.51,13.39,8.61
jijiga,24,ET,38,9.35,42.8,56.43,7.81
sao joao da barra,0,BR,82,-21.64,-41.05,73.22,8.61
sibolga,11,ID,62,1.74,98.78,87.71,0.54
morondava,0,MG,67,-20.28,44.28,75.99,6.4
saint-leu,28,RE,94,-21.15,55.28,78.8,17.22
inongo,100,CD,97,-1.95,18.27,73.51,2.39
opuwo,81,NA,44,-18.06,13.84,68.07,4.27
san andres,20,CO,78,12.58,-81.7,80.6,12.75
podor,0,MR,7,16.65,-14.96,78.75,9.26
mawlaik,0,MM,30,23.63,94.42,83.5,2.28
fiumicino,0,IT,100,41.77,12.23,53.01,4.7
daru,100,PG,69,-9.08,143.21,85.95,9.78
juneau,90,US,79,58.3,-134.42,28,6.93
mogocha,0,RU,58,53.73,119.77,3.31,9.44
lansing,90,US,86,42.73,-84.56,39.99,4.12
lagoa,31,PT,73,39.05,-27.98,57.65,11.68
klaksvik,99,FO,86,62.23,-6.59,37.4,10.29
tautira,75,PF,66,-17.73,-149.15,86,5.82
port lincoln,59,AU,32,-34.73,135.87,88.02,15.84
doha,1,QA,93,25.29,51.53,64,1.12
cayenne,0,GF,94,4.93,-52.33,71.6,5.64
menongue,97,AO,98,-14.66,17.69,61.65,3.04
nanchang,100,CN,93,28.68,115.88,55.22,2.39
caborca,100,MX,84,30.58,-111.1,69.01,5.35
zhigansk,67,RU,91,66.77,123.37,-19.41,21.85
lebu,67,CL,95,-37.62,-73.65,51.82,2.04
beihai,27,CN,90,21.48,109.1,72.79,13.06
gashua,94,NG,14,12.87,11.05,70.59,18.28
wilmington,90,US,82,34.23,-77.94,64.99,5.82
chicama,40,PE,78,-7.84,-79.15,75.2,9.17
sao filipe,0,CV,62,14.9,-24.5,74.28,9.93
wulanhaote,,,,,,,
burica,,,,,,,
huetamo,,,,,,,
hay river,90,CA,71,60.82,-115.8,5,6.93
basco,52,PH,83,20.45,121.97,75.36,21.41
santa rosa,20,PH,58,14.31,121.11,91,12.75
malakal,68,SS,63,9.53,31.66,77.9,1.92
sakaraha,0,MG,73,-22.9,44.53,69.48,3.02
pitangueiras,0,BR,69,-21.01,-48.22,77,6.93
santa isabel,40,BR,83,-23.32,-46.22,70,4.7
santo angelo,69,BR,44,-28.3,-54.26,80.6,6.93
labrea,58,BR,85,-7.26,-64.8,74.79,0.94
deloraine,40,AU,47,-41.53,146.67,80.01,12.75
hovd,0,MN,47,48.01,91.64,13.14,3.67
gat,40,IL,82,31.61,34.76,71.01,3.36
salinas,1,US,67,36.68,-121.66,64.99,9.17
caravelas,100,BR,80,-17.71,-39.25,79.5,6.89
bur gabo,,,,,,,
nelson bay,40,AU,41,-32.72,152.15,78.01,13.87
okha,0,RU,77,53.57,142.95,13.33,25.9
novosmolinskiy,90,RU,100,56.28,43.05,46.99,13.42
apatou,0,GF,91,5.16,-54.35,69.96,2.17
grandview,1,US,81,38.89,-94.53,59,6.53
tezu,80,IN,43,27.92,96.17,73.27,1.61
dolbeau,,,,,,,
satitoa,,,,,,,
bargal,,,,,,,
hami,100,CN,28,42.8,93.45,33.19,9.73
bogandinskiy,90,RU,92,56.89,65.89,30.2,15.66
yuancheng,100,CN,20,36.65,107.79,43.66,11.27
xining,91,CN,24,36.62,101.77,32.83,9.28
lalmohan,0,BD,39,22.34,90.74,83.59,6.78
lakhdenpokhya,100,RU,97,61.52,30.2,35.01,7.99
asfi,0,MA,68,32.3,-9.24,52.75,1.28
smirnykh,1,RU,60,49.75,142.83,23.38,6.91
panjakent,0,TJ,66,39.5,67.61,35.6,4.7
chara,0,RU,63,56.91,118.26,-20.47,2.01
hope,1,US,73,33.67,-93.59,73,4.7
greytown,3,ZA,97,-29.06,30.59,56.91,2.35
tazovskiy,3,RU,94,67.47,78.7,-9.65,5.44
gympie,35,AU,77,-26.19,152.66,77,7
saint-louis,0,SN,7,16.33,-15,78.75,9.26
ijaki,,,,,,,
west bay,20,KY,78,19.37,-81.42,77,10.29
harper,100,LR,94,4.38,-7.72,77.83,3.42
mount isa,75,AU,41,-20.73,139.5,91.4,6.93
tevriz,100,RU,98,57.51,72.4,34.47,8.01
sumbawanga,75,TZ,88,-7.97,31.62,62.6,1.77
huntsville,90,US,87,34.73,-86.59,61,3.36
katangli,0,RU,70,51.71,143.23,19.38,14.81
kalabo,100,ZM,90,-14.97,22.68,66.4,3.87
taoudenni,0,ML,16,22.68,-3.98,63.93,10.25
jay,40,US,77,44.5,-70.22,35.01,5.82
boyolangu,71,ID,73,-8.12,111.89,84.88,11.03
veraval,0,IN,49,20.9,70.37,67.51,4.29
bolshoy tsaryn,,,,,,,
saint-joseph,76,RE,94,-21.37,55.62,78.8,17.22
